Points,Volume
100,0.57
200,0.56
300,0.55
400,0.52
500,0.592
600,0.563333333
700,0.551428571
800,0.56875
900,0.573333333
1000,0.574
1100,0.538181818
1200,0.555833333
1300,0.540769231
1400,0.586428571
1500,0.556666667
1600,0.565625
1700,0.551764706
1800,0.545555556
1900,0.571578947
2000,0.549
2100,0.540952381
2200,0.558181818
2300,0.56173913
2400,0.522083333
2500,0.5468
2600,0.558461538
2700,0.542962963
2800,0.552142857
2900,0.55862069
3000,0.553
3100,0.563548387
3200,0.5534375
3300,0.541515152
3400,0.556470588
3500,0.539142857
3600,0.552777778
3700,0.554594595
3800,0.55
3900,0.555384615
4000,0.5565
4100,0.565853659
4200,0.546904762
4300,0.54627907
4400,0.555909091
4500,0.546
4600,0.542608696
4700,0.553191489
4800,0.557916667
4900,0.550816327
5000,0.5616
5100,0.546078431
5200,0.550576923
5300,0.54490566
5400,0.551851852
5500,0.552181818
5600,0.548035714
5700,0.558245614
5800,0.567758621
5900,0.559661017
6000,0.547333333
6100,0.543934426
6200,0.543548387
6300,0.558253968
6400,0.54671875
6500,0.540153846
6600,0.548181818
6700,0.553432836
6800,0.567352941
6900,0.542173913
7000,0.566142857
7100,0.549577465
7200,0.5525
7300,0.547808219
7400,0.554324324
7500,0.5476
7600,0.557236842
7700,0.550779221
7800,0.558076923
7900,0.563417722
8000,0.551
8100,0.553950617
8200,0.549878049
8300,0.547228916
8400,0.553333333
8500,0.543058824
8600,0.56372093
8700,0.557471264
8800,0.559886364
8900,0.548539326
9000,0.546888889
9100,0.542417582
9200,0.544891304
9300,0.539462366
9400,0.546808511
9500,0.547473684
9600,0.556354167
9700,0.560206186
9800,0.562244898
9900,0.548787879
10000,0.5485
11000,0.543909091
12000,0.549166667
13000,0.549692308
14000,0.551214286
15000,0.556533333
16000,0.5521875
17000,0.548764706
18000,0.548611111
19000,0.552263158
20000,0.5574
21000,0.551904762
22000,0.559590909
23000,0.548782609
24000,0.55125
25000,0.55408
26000,0.543538462
27000,0.556925926
28000,0.551964286
29000,0.556793103
30000,0.556633333
31000,0.55283871
32000,0.55621875
33000,0.552606061
34000,0.546088235
35000,0.553228571
36000,0.550805556
37000,0.555594595
38000,0.548394737
39000,0.551025641
40000,0.55475
41000,0.549829268
42000,0.550619048
43000,0.553651163
44000,0.554863636
45000,0.555444444
46000,0.548956522
47000,0.549531915
48000,0.554708333
49000,0.553591837
50000,0.5521
51000,0.554352941
52000,0.557346154
53000,0.554226415
54000,0.553481481
55000,0.548018182
56000,0.549839286
57000,0.554035088
58000,0.550741379
59000,0.554440678
60000,0.552383333
61000,0.54852459
62000,0.552322581
63000,0.551793651
64000,0.55090625
65000,0.553753846
66000,0.55169697
67000,0.550985075
68000,0.554808824
69000,0.552115942
70000,0.553785714
71000,0.553746479
72000,0.5545
73000,0.554849315
74000,0.548783784
75000,0.55196
76000,0.554302632
77000,0.551558442
78000,0.553833333
79000,0.552291139
80000,0.556575
81000,0.551839506
82000,0.552865854
83000,0.55146988
84000,0.552666667
85000,0.550682353
86000,0.552616279
87000,0.55116092
88000,0.552625
89000,0.549719101
90000,0.5496
91000,0.553395604
92000,0.551173913
93000,0.554139785
94000,0.551297872
95000,0.550726316
96000,0.548677083
97000,0.552154639
98000,0.553153061
99000,0.552545455
